county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,week
Santa Clara,151.0,6.0,151,6,2020-03-18,12
Santa Clara,183.0,8.0,32,2,2020-03-19,12
Santa Clara,246.0,8.0,63,0,2020-03-20,12
Santa Clara,269.0,10.0,23,2,2020-03-21,12
Santa Clara,284.0,13.0,15,3,2020-03-22,12
Santa Clara,336.0,13.0,52,0,2020-03-23,13
Santa Clara,389.0,17.0,53,4,2020-03-24,13
Santa Clara,452.0,20.0,63,3,2020-03-25,13
Santa Clara,487.0,20.0,35,0,2020-03-26,13
Santa Clara,557.0,25.0,70,5,2020-03-27,13
Santa Clara,587.0,27.0,30,2,2020-03-28,13
Santa Clara,591.0,30.0,4,3,2020-03-29,13
Santa Clara,745.0,31.0,154,1,2020-03-30,14
Santa Clara,777.0,30.0,32,-1,2020-03-31,14
Santa Clara,805.0,33.0,28,3,2020-04-01,14
Santa Clara,908.0,38.0,103,5,2020-04-02,14
Santa Clara,983.0,39.0,75,1,2020-04-03,14
Santa Clara,1045.0,39.0,62,0,2020-04-04,14
Santa Clara,1052.0,42.0,7,3,2020-04-05,14
Santa Clara,1128.0,43.0,76,1,2020-04-06,15
Santa Clara,1193.0,46.0,65,3,2020-04-07,15
Santa Clara,1257.0,47.0,64,1,2020-04-08,15
Santa Clara,1301.0,49.0,44,2,2020-04-09,15
Santa Clara,1351.0,52.0,50,3,2020-04-10,15
Santa Clara,1441.0,52.0,90,0,2020-04-11,15
Santa Clara,1461.0,53.0,20,1,2020-04-12,15
Santa Clara,1542.0,60.0,81,7,2020-04-13,16
Santa Clara,1561.0,66.0,19,6,2020-04-14,16
Santa Clara,1692.0,66.0,131,0,2020-04-15,16
Santa Clara,1789.0,69.0,97,3,2020-04-16,16
Santa Clara,1834.0,73.0,45,4,2020-04-17,16
Santa Clara,1862.0,73.0,28,0,2020-04-18,16
Santa Clara,1878.0,79.0,16,6,2020-04-19,16
Santa Clara,1920.0,83.0,42,4,2020-04-20,17
Santa Clara,1943.0,88.0,23,5,2020-04-21,17
Santa Clara,1969.0,94.0,26,6,2020-04-22,17
Santa Clara,1996.0,95.0,27,1,2020-04-23,17
Santa Clara,2026.0,98.0,30,3,2020-04-24,17
Santa Clara,2045.0,99.0,19,1,2020-04-25,17
Santa Clara,2097.0,102.0,52,3,2020-04-26,17
Santa Clara,2104.0,105.0,7,3,2020-04-27,18
Santa Clara,2130.0,106.0,26,1,2020-04-28,18
Santa Clara,2147.0,108.0,17,2,2020-04-29,18
Santa Clara,2172.0,111.0,25,3,2020-04-30,18
Santa Clara,2176.0,113.0,4,2,2020-05-01,18
Santa Clara,2203.0,115.0,27,2,2020-05-02,18
Santa Clara,2235.0,116.0,32,1,2020-05-03,18
Santa Clara,2238.0,119.0,3,3,2020-05-04,19
Santa Clara,2249.0,123.0,11,4,2020-05-05,19
Santa Clara,2270.0,126.0,21,3,2020-05-06,19
Santa Clara,2281.0,127.0,11,1,2020-05-07,19
Santa Clara,2285.0,130.0,4,3,2020-05-08,19
Santa Clara,2317.0,130.0,32,0,2020-05-09,19
Santa Clara,2331.0,130.0,14,0,2020-05-10,19
Santa Clara,2340.0,133.0,9,3,2020-05-11,20
Santa Clara,2362.0,133.0,22,0,2020-05-12,20
Santa Clara,2370.0,135.0,8,2,2020-05-13,20
Santa Clara,2380.0,135.0,10,0,2020-05-14,20
Santa Clara,2395.0,136.0,15,1,2020-05-15,20
Santa Clara,2420.0,136.0,25,0,2020-05-16,20
Santa Clara,2453.0,136.0,33,0,2020-05-17,20
Santa Clara,2468.0,136.0,15,0,2020-05-18,21
Santa Clara,2480.0,139.0,12,3,2020-05-19,21
Santa Clara,2508.0,139.0,28,0,2020-05-20,21
Santa Clara,2520.0,139.0,12,0,2020-05-21,21
Santa Clara,2537.0,139.0,17,0,2020-05-22,21
Santa Clara,2593.0,139.0,56,0,2020-05-23,21
Santa Clara,2623.0,139.0,30,0,2020-05-24,21
Santa Clara,2647.0,140.0,24,1,2020-05-25,22
Santa Clara,2659.0,140.0,12,0,2020-05-26,22
Santa Clara,2680.0,141.0,21,1,2020-05-27,22
